Image1, Image2, x, y, z, qw, qx, qy, qz
rgb/1341840083.990000.png, rgb/1341840084.194127.png, 0.0018, 0.0003, -0.0023, 0.999941158085, -0.00128874193566, -0.00453978772469, -8.20626703193e-05
rgb/1341840084.194127.png, rgb/1341840084.394092.png, 0.0026, -0.0003, -0.0001, 1.00005886753, 0.00181649240204, 0.00215993634226, 0.00184743636101
rgb/1341840084.394092.png, rgb/1341840084.594095.png, 0.0014, 0.0001, 0.0, 0.999970950034, -0.00174466797619, -0.00146834829672, -0.00177460794145
rgb/1341840084.594095.png, rgb/1341840084.794567.png, 0.0009, -0.0004, -0.0008, 1.00003613176, -6.95833810565e-05, -0.000828650264116, 0.000370448000068
rgb/1341840084.794567.png, rgb/1341840084.998375.png, -0.0006, 0.0019, -0.001, 0.999962490919, -0.000368280977116, -0.00278941165941, 0.00317044232416
rgb/1341840084.998375.png, rgb/1341840085.198124.png, 0.0027, 0.0101, -0.0064, 0.999853885244, -0.003574316344, 0.00434797152647, 0.0144043688622
rgb/1341840085.198124.png, rgb/1341840085.398022.png, 0.0043, 0.0253, -0.0082, 0.999899851428, -0.00564177287934, -0.007997394497, 0.0122887417934
rgb/1341840085.398022.png, rgb/1341840085.598078.png, 0.0155, 0.0474, 0.0043, 0.99984723403, -0.00216932477721, 0.00821362098831, 0.01538178112
rgb/1341840085.598078.png, rgb/1341840085.805306.png, 0.0201, 0.0521, 0.0029, 0.999546423753, 0.0031763037752, 0.00496793795154, 0.0291504141678
rgb/1341840085.805306.png, rgb/1341840086.009063.png, 0.018, 0.0527, -0.0028, 0.999962997845, -0.00155349049082, 0.000129167524008, 0.0085908704182
rgb/1341840086.009063.png, rgb/1341840086.209221.png, 0.0227, 0.0482, 0.0049, 0.999891953947, 0.00307235211317, 0.00517574994551, 0.0124567778287
rgb/1341840086.209221.png, rgb/1341840086.408991.png, 0.0288, 0.0351, -0.0008, 1.00003427277, -0.00010774869532, -0.00326004308548, -0.00618168886229
rgb/1341840086.408991.png, rgb/1341840086.612988.png, 0.0347, 0.0323, -0.0007, 0.99993758229, 0.00020028265163, -0.00941322462879, 0.00792537921784
rgb/1341840086.612988.png, rgb/1341840086.813143.png, 0.042, 0.0347, -0.002, 0.999968362003, -7.08355146952e-05, -0.000741073075253, 0.00476689816001
rgb/1341840086.813143.png, rgb/1341840087.013086.png, 0.0385, 0.0427, 0.0004, 0.999866613111, 0.00227005706227, -0.00472521980787, 0.013516894786
rgb/1341840087.013086.png, rgb/1341840087.210062.png, 0.0382, 0.0326, 0.0063, 0.999629647686, -0.000762085339338, 0.0078252901909, 0.0252630199954
rgb/1341840087.210062.png, rgb/1341840087.410085.png, 0.0367, 0.0299, -0.0007, 0.999982738726, -0.001599878039, -0.00792044437039, 0.00854733062205
rgb/1341840087.410085.png, rgb/1341840087.609992.png, 0.0324, 0.0301, -0.0031, 0.99994641161, 0.00526761176094, 0.00343178690912, 0.0072124533379
rgb/1341840087.609992.png, rgb/1341840087.809957.png, 0.0301, 0.0296, -0.0043, 0.9998057228, 0.00285068892157, -0.00384532458887, 0.0160242090911
rgb/1341840087.809957.png, rgb/1341840088.013958.png, 0.0367, 0.0331, -0.0015, 1.00001575149, -0.00110687451109, -0.00181683154523, 0.0123821891263
rgb/1341840088.013958.png, rgb/1341840088.214180.png, 0.0462, 0.0305, 0.0078, 0.999369709821, -0.0089051248146, 0.0118427760021, 0.0322685673903
rgb/1341840088.214180.png, rgb/1341840088.414141.png, 0.0489, 0.0334, 0.011, 0.999324504537, -0.00982066173398, 0.0175115469468, 0.0287378943816
rgb/1341840088.414141.png, rgb/1341840088.618206.png, 0.039, 0.0302, 0.0121, 0.999656011043, -0.0227620127228, -0.00068219776443, 0.0158618130416
rgb/1341840088.618206.png, rgb/1341840088.818075.png, 0.0313, 0.0263, 0.0075, 0.999660759089, -0.00695170882734, -0.00458729187309, 0.0232428721236
rgb/1341840088.818075.png, rgb/1341840089.018030.png, 0.0376, 0.0225, 0.0012, 0.999970449631, -0.00580956261953, 0.00202845535569, 0.00671673395917
rgb/1341840089.018030.png, rgb/1341840089.225124.png, 0.043, 0.0174, -0.007, 0.999970450336, 0.0050881020974, -0.00538885867479, 0.00946778225664
rgb/1341840089.225124.png, rgb/1341840089.428976.png, 0.0509, 0.0079, -0.004, 0.999706668409, -0.010480804934, 0.0077595384887, 0.0156600133277
rgb/1341840089.428976.png, rgb/1341840089.629045.png, 0.0628, 0.0179, 0.0003, 0.999991979403, -0.00228498011677, 0.00304166645207, 0.00536192919563
rgb/1341840089.629045.png, rgb/1341840089.828965.png, 0.065, 0.0246, 0.0027, 1.00000055003, 0.00297579066562, -7.09933558559e-05, 0.0105520287944
rgb/1341840089.828965.png, rgb/1341840090.029152.png, 0.0583, 0.0217, 0.0022, 0.99964865601, 0.00231044895746, 0.00819007368884, 0.0247451081196
rgb/1341840090.029152.png, rgb/1341840090.229041.png, 0.049, 0.0127, 0.0032, 0.999759493516, -0.00579231447193, 0.00112299688757, 0.0178101190713
rgb/1341840090.229041.png, rgb/1341840090.458131.png, 0.0437, 0.0065, 0.0012, 0.999879621242, 1.87413634342e-05, -0.00919567898565, 0.0153240948279
rgb/1341840090.458131.png, rgb/1341840090.662197.png, 0.0453, 0.0154, -0.0078, 0.999797131195, 0.0108704259732, -0.000898814705981, 0.0167057616031
rgb/1341840090.662197.png, rgb/1341840090.861960.png, 0.0519, 0.0152, -0.0009, 0.999842189724, -0.00291113509449, -0.00703135230487, 0.0148771960351
rgb/1341840090.861960.png, rgb/1341840091.061986.png, 0.0636, 0.0248, -0.001, 0.99972336946, 0.00815426067733, 0.00896894171668, 0.0204914907258
rgb/1341840091.061986.png, rgb/1341840091.262411.png, 0.0711, 0.0272, -0.0026, 0.999939668525, 0.00636026550849, 0.0023463273677, 0.0128659745731
rgb/1341840091.262411.png, rgb/1341840091.466058.png, 0.0663, 0.0224, 0.0, 0.999896566866, -0.00204869400769, 0.00509697166302, 0.00684820541612
rgb/1341840091.466058.png, rgb/1341840091.666147.png, 0.0525, 0.016, -0.0007, 1.00003759238, 0.00266095873139, 0.00186594831978, 0.00705123711895
rgb/1341840091.666147.png, rgb/1341840091.866167.png, 0.0395, 0.0049, -0.0012, 0.999937364513, 0.000152059044146, -0.00265723854596, 0.0105490999373
rgb/1341840091.866167.png, rgb/1341840092.069963.png, 0.0448, -0.0011, -0.0072, 0.999664871834, 0.00419704656242, -0.00312789621756, 0.0248788391436
rgb/1341840092.069963.png, rgb/1341840092.269975.png, 0.0554, -0.0018, -0.0093, 0.999421823913, -0.000157033505094, 0.00644981323572, 0.0333504606249
rgb/1341840092.269975.png, rgb/1341840092.469968.png, 0.0538, 0.0055, 0.0032, 0.999290237837, -0.00181189893732, 0.00804611443139, 0.0355775346491
rgb/1341840092.469968.png, rgb/1341840092.670218.png, 0.0522, 0.0006, 0.0011, 0.999851983188, -0.00231349646711, -0.00473456788481, 0.0171954813361
rgb/1341840092.670218.png, rgb/1341840092.874105.png, 0.0457, -0.0061, -0.0022, 0.999769465717, -0.00351265526513, -0.00125315328359, 0.0195904339903
rgb/1341840092.874105.png, rgb/1341840093.074068.png, 0.0433, -0.012, -0.0089, 0.999910322655, 0.00650156247797, -0.0117965561379, 0.00884783463766
rgb/1341840093.074068.png, rgb/1341840093.274028.png, 0.0488, -0.0178, -0.002, 0.999936919903, -0.00104724161275, 1.44700222838e-05, 0.00970820495064
rgb/1341840093.274028.png, rgb/1341840093.474124.png, 0.0526, -0.0235, -0.001, 0.999725741128, -0.00365606827381, 0.00407139170952, 0.0228777100939
rgb/1341840093.474124.png, rgb/1341840093.678248.png, 0.058, -0.0211, 0.0022, 0.999396173419, 0.000205435641263, 0.0127491000903, 0.0327173884195
rgb/1341840093.678248.png, rgb/1341840093.910211.png, 0.073, -0.0249, 0.0022, 0.999558569232, 0.00619262077516, -0.00356208619803, 0.0294312712104
rgb/1341840093.910211.png, rgb/1341840094.114075.png, 0.0526, -0.0159, -0.0005, 0.99953761518, -0.00413686418675, 0.00373654732915, 0.0283157803929
rgb/1341840094.114075.png, rgb/1341840094.314003.png, 0.0423, -0.0122, 0.0024, 0.999936386255, 0.00343661231337, -0.00514426284275, 0.0117030989614
rgb/1341840094.314003.png, rgb/1341840094.514223.png, 0.0402, -0.0173, -0.0022, 0.999850128372, 0.00494898374596, -0.00662722197163, 0.0149849327364
rgb/1341840094.514223.png, rgb/1341840094.715723.png, 0.055, -0.0234, -0.0121, 0.999975539569, 0.0108336808895, 0.000784323819786, 0.0078643985707
rgb/1341840094.715723.png, rgb/1341840094.918054.png, 0.0591, -0.0271, -0.0057, 0.999597195634, 0.00452864694959, 0.00708825697137, 0.023965654931
rgb/1341840094.918054.png, rgb/1341840095.118044.png, 0.0566, -0.0234, -0.004, 0.999669944464, 0.00577422179262, 0.00443958897145, 0.0246414398726
rgb/1341840095.118044.png, rgb/1341840095.318140.png, 0.0476, -0.0275, 0.0033, 0.999939417164, -0.00109107108395, -0.0026305531625, 0.0152055019216
rgb/1341840095.318140.png, rgb/1341840095.522111.png, 0.0362, -0.029, 0.0066, 0.999782475516, -0.00684257191934, -0.00125380056641, 0.0174205273938
rgb/1341840095.522111.png, rgb/1341840095.721971.png, 0.0336, -0.0236, 0.0068, 0.999880438588, 0.00281267321767, -0.0145800021898, 0.0115953569412
rgb/1341840095.721971.png, rgb/1341840095.922043.png, 0.046, -0.0238, 0.0014, 0.999456376548, -0.00406193747726, -0.00114402099894, 0.0302334151202
rgb/1341840095.922043.png, rgb/1341840096.122246.png, 0.068, -0.0273, 0.0034, 0.999672963295, -0.0041185903776, 0.00475442285592, 0.0259353447774
rgb/1341840096.122246.png, rgb/1341840096.326010.png, 0.072, -0.0248, 0.0053, 0.999508503519, 3.70597346524e-05, 0.00580839841187, 0.029255310532
rgb/1341840096.326010.png, rgb/1341840096.525992.png, 0.0554, -0.0318, 0.0051, 0.99998697888, -0.00458234398994, -0.00170675674695, 0.00962958795197
rgb/1341840096.525992.png, rgb/1341840096.726051.png, 0.0366, -0.0286, 0.0041, 0.999922930355, 0.00515198624934, -0.00461530872343, 0.0144616333319
rgb/1341840096.726051.png, rgb/1341840096.926123.png, 0.0305, -0.0295, -0.0054, 0.999795581967, 0.00261528896105, -0.00344499980032, 0.0169076231068
rgb/1341840096.926123.png, rgb/1341840097.130197.png, 0.0336, -0.0406, -0.0073, 0.999665161082, 0.000532128281226, -0.00254033179473, 0.0260363059027
rgb/1341840097.130197.png, rgb/1341840097.330044.png, 0.0382, -0.0481, -0.0033, 0.999637966622, 0.00466868460976, 0.00768529943587, 0.0259054961885
rgb/1341840097.330044.png, rgb/1341840097.530195.png, 0.0434, -0.0475, 0.0028, 0.999732092407, 0.000639740373623, 0.00121473374568, 0.0203942155439
rgb/1341840097.530195.png, rgb/1341840097.734100.png, 0.0416, -0.0478, 0.004, 0.999971997994, 0.000492875304658, 0.00210441073894, 0.0112101329818
rgb/1341840097.734100.png, rgb/1341840097.933958.png, 0.0356, -0.0367, 0.0037, 0.999996600009, 0.00128924651903, -0.00894022586139, 0.00215869417153
rgb/1341840097.933958.png, rgb/1341840098.133988.png, 0.04, -0.0286, -0.0031, 0.999865991009, 0.00847801353119, -0.00244491914989, 0.00950230938528
rgb/1341840098.133988.png, rgb/1341840098.333999.png, 0.0453, -0.0364, -0.0012, 0.999983689711, 0.00196647482627, -0.010779500905, -0.00196144473719
rgb/1341840098.333999.png, rgb/1341840098.538046.png, 0.063, -0.0392, -0.0005, 0.99986260011, 0.0025836598943, 0.00907026261008, 0.0144358678088
rgb/1341840098.538046.png, rgb/1341840098.737998.png, 0.0659, -0.046, 0.0027, 0.999859973462, -0.00301651999177, 0.0037832462787, 0.00775435449636
rgb/1341840098.737998.png, rgb/1341840098.937995.png, 0.0578, -0.0498, -0.0035, 1.0000547555, -0.00340115137356, 0.00627618994118, 0.00300909202257
rgb/1341840098.937995.png, rgb/1341840099.138052.png, 0.0477, -0.0438, -0.0085, 0.999953623206, 0.00415309285516, 0.0045265070373, -0.00420672914675
rgb/1341840099.138052.png, rgb/1341840099.341994.png, 0.0293, -0.0417, -0.0075, 0.999915742681, 0.00201022603461, 0.00153667110313, 0.00794973703937
