image1, image2, trans, rot
rgb/1341840084.194127.png,  rgb/1341840084.394092.png, 13, 62
rgb/1341840084.394092.png,  rgb/1341840084.594095.png, 13, 62
rgb/1341840084.594095.png,  rgb/1341840084.794567.png, 13, 62
rgb/1341840084.794567.png,  rgb/1341840084.998375.png, 13, 62
rgb/1341840084.998375.png,  rgb/1341840085.198124.png, 11, 87
rgb/1341840085.198124.png,  rgb/1341840085.398022.png, 11, 87
rgb/1341840085.398022.png,  rgb/1341840085.598078.png, 1, 87
rgb/1341840085.598078.png,  rgb/1341840085.805306.png, 1, 87
rgb/1341840085.805306.png,  rgb/1341840086.009063.png, 1, 62
rgb/1341840086.009063.png,  rgb/1341840086.209221.png, 1, 87
rgb/1341840086.209221.png,  rgb/1341840086.408991.png, 1, 62
rgb/1341840086.408991.png,  rgb/1341840086.612988.png, 1, 57
rgb/1341840086.612988.png,  rgb/1341840086.813143.png, 1, 62
rgb/1341840086.813143.png,  rgb/1341840087.013086.png, 1, 87
rgb/1341840087.013086.png,  rgb/1341840087.210062.png, 0, 87
rgb/1341840087.210062.png,  rgb/1341840087.410085.png, 1, 62
rgb/1341840087.410085.png,  rgb/1341840087.609992.png, 1, 62
rgb/1341840087.609992.png,  rgb/1341840087.809957.png, 1, 87
rgb/1341840087.809957.png,  rgb/1341840088.013958.png, 1, 87
rgb/1341840088.013958.png,  rgb/1341840088.214180.png, 0, 91
rgb/1341840088.214180.png,  rgb/1341840088.414141.png, 0, 91
rgb/1341840088.414141.png,  rgb/1341840088.618206.png, 0, 86
rgb/1341840088.618206.png,  rgb/1341840088.818075.png, 0, 87
rgb/1341840088.818075.png,  rgb/1341840089.018030.png, 1, 62
rgb/1341840089.018030.png,  rgb/1341840089.225124.png, 2, 87
rgb/1341840089.225124.png,  rgb/1341840089.428976.png, 1, 86
rgb/1341840089.428976.png,  rgb/1341840089.629045.png, 1, 62
rgb/1341840089.629045.png,  rgb/1341840089.828965.png, 1, 87
rgb/1341840089.828965.png,  rgb/1341840090.029152.png, 1, 87
rgb/1341840090.029152.png,  rgb/1341840090.229041.png, 1, 87
rgb/1341840090.229041.png,  rgb/1341840090.458131.png, 1, 82
rgb/1341840090.458131.png,  rgb/1341840090.662197.png, 2, 88
rgb/1341840090.662197.png,  rgb/1341840090.861960.png, 1, 87
rgb/1341840090.861960.png,  rgb/1341840091.061986.png, 1, 92
rgb/1341840091.061986.png,  rgb/1341840091.262411.png, 1, 87
rgb/1341840091.262411.png,  rgb/1341840091.466058.png, 1, 62
rgb/1341840091.466058.png,  rgb/1341840091.666147.png, 1, 62
rgb/1341840091.666147.png,  rgb/1341840091.866167.png, 4, 87
rgb/1341840091.866167.png,  rgb/1341840092.069963.png, 5, 87
rgb/1341840092.069963.png,  rgb/1341840092.269975.png, 5, 87
rgb/1341840092.269975.png,  rgb/1341840092.469968.png, 1, 112
rgb/1341840092.469968.png,  rgb/1341840092.670218.png, 4, 87
rgb/1341840092.670218.png,  rgb/1341840092.874105.png, 7, 87
